"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L3174","GroupMappingServiceProvider","org.apache.hadoop.security.GroupMappingServiceProvider","L423","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\GroupMappingServiceProvider.java","30","1","53","2","0","0","0","0","0","0","0","0","0","0","0","3","4","7","10","0","3","1","0.740741","20","20","4","0","0.740741","20","0","0","5","9","0","7","24","0","1","0","1","3","0","3","0","3","0","0","3","0","7","24","0","1","0","1","3","0","3","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3676","RefreshUserMappingsProtocol","org.apache.hadoop.security.RefreshUserMappingsProtocol","L423","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\RefreshUserMappingsProtocol.java","32","1","56","2","0","0","0","0","0","0","0","0","0","0","0","2","6","2","2","0","2","1","0.576923","15","15","3","0","0.576923","15","0","0","1","1","0","11","25","1","0","1","0","2","1","2","0","2","0","1","2","0","11","25","1","0","1","0","2","1","2","0","2","0","1","2","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0"
"L9064","GSet<K extends Object, E extends K>","org.apache.hadoop.util.GSet","L7848","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\GSet.java","34","1","90","2","0","0","0","0","0","0","0","0","0","0","0","6","2","5","16","0","6","0.857143","0.836066","51","51","6","1","0.836066","51","0","0","4","5","0","10","57","1","0","1","0","6","1","6","0","6","0","1","6","0","10","57","1","0","1","0","6","1","6","0","6","0","1","6","0","0","0","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0"
"L9300","IdGenerator","org.apache.hadoop.util.IdGenerator","L7848","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\IdGenerator.java","26","1","31","2","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","1","0.555556","5","5","2","0","0.555556","5","0","0","0","0","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9235","IndexedSortable","org.apache.hadoop.util.IndexedSortable","L7848","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\IndexedSortable.java","27","1","41","2","0","0","0","0","0","0","0","0","0","0","0","2","4","6","6","0","2","1","0.647059","11","11","3","0","0.647059","11","0","0","3","3","0","6","15","0","0","0","0","2","0","2","0","2","0","0","2","0","6","15","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9229","IndexedSorter","org.apache.hadoop.util.IndexedSorter","L7848","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\IndexedSorter.java","30","1","51","2","0","0","0","0","0","0","0","0","0","0","0","2","6","3","7","0","2","1","0.769231","20","20","3","0","0.769231","20","0","0","2","2","0","6","22","0","0","0","0","2","0","2","0","2","0","0","2","0","6","22","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9256","Progressable","org.apache.hadoop.util.Progressable","L7848","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\Progressable.java","33","1","40","2","0","0","0","0","0","0","0","0","0","0","0","1","4","41","4","0","1","1","0.705882","12","12","2","0","0.705882","12","0","0","0","0","0","5","8","0","0","0","0","1","0","1","0","1","0","0","1","0","5","8","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10532","ServicePlugin","org.apache.hadoop.util.ServicePlugin","L7848","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\ServicePlugin.java","36","1","51","2","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","2","1","0.76","19","19","3","0","0.76","19","0","0","0","0","0","6","16","0","0","0","0","2","0","2","0","2","0","0","2","0","6","16","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11374","Tool","org.apache.hadoop.util.Tool","L7848","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\Tool.java","73","1","84","2","0","0","0","0","0","0","0","0","0","0","0","1","5","9","1","0","1","1","0.916667","55","55","2","0","0.916667","55","1","1","7","8","1","5","12","0","1","0","0","1","0","1","0","3","0","0","3","1","5","12","0","1","0","0","1","0","1","0","3","0","0","3","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"L3389","Configurable","org.apache.hadoop.conf.Configurable","L12948","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\conf\Configurable.java","25","1","34","2","0","0","0","0","0","0","0","0","0","0","0","2","5","24","10","0","2","1","0.333333","3","3","3","0","0.333333","3","0","0","18","134","0","6","10","0","1","0","1","2","0","2","1","2","0","0","2","1","6","10","0","1","0","1","2","0","2","1","2","0","0","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
