"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L3612","HadoopIllegalArgumentException","org.apache.hadoop.HadoopIllegalArgumentException","L106","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\HadoopIllegalArgumentException.java","28","1","40","2","0","0","0","0","0","0","0","0","0","0","0","1","4","23","30","0","1","1","0.529412","9","9","2","0","0.529412","9","0","0","3","3","0","8","13","1","0","1","0","1","0","1","0","1","1","0","1","0","8","13","1","0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L133","InterfaceAudience","org.apache.hadoop.classification.InterfaceAudience","L122","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-annotations\src\main\java\org\apache\hadoop\classification\InterfaceAudience.java","27","1","55","2","0","0","0","0","0","0","0","0","0","0","0","1","3","565","0","0","1","1","0.333333","4","3","1","0","0.466667","14","0","0","0","0","0","8","21","0","0","0","0","1","0","0","0","1","0","0","0","0","16","29","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L146","InterfaceStability","org.apache.hadoop.classification.InterfaceStability","L122","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-annotations\src\main\java\org\apache\hadoop\classification\InterfaceStability.java","29","1","54","2","0","0","0","0","0","0","0","0","0","0","0","0","3","512","0","0","0","1","0.416667","5","5","1","0","0.551724","16","0","0","0","0","0","7","20","0","0","0","0","0","0","0","0","0","0","0","0","0","13","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2527","AccessControlException","org.apache.hadoop.security.AccessControlException","L428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\AccessControlException.java","26","1","61","2","0","0","0","0","0","0","0","0","0","0","0","3","5","31","18","2","5","1","0.628571","22","22","4","0","0.628571","22","1","1","1","1","1","13","36","2","0","1","0","3","0","3","0","6","3","0","6","0","13","36","2","0","1","0","3","0","3","0","6","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2546","AnnotatedSecurityInfo","org.apache.hadoop.security.AnnotatedSecurityInfo","L428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\AnnotatedSecurityInfo.java","27","1","40","2","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","2","0.333333","0.230769","3","3","1","2","0.230769","3","1","1","0","0","1","10","14","0","2","0","2","2","0","2","0","2","2","0","2","0","10","14","0","2","0","2","2","0","2","0","2","2","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2571","AuthenticationFilterInitializer","org.apache.hadoop.security.AuthenticationFilterInitializer","L428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\AuthenticationFilterInitializer.java","46","1","114","2","0","0","0","0","0","0","0","0","1","2","2","8","7","1","1","3","4","1","0.333333","24","22","2","0","0.333333","24","1","1","0","0","1","48","69","2","0","2","0","1","0","1","0","1","29","0","1","0","48","69","2","0","2","0","1","0","1","0","1","29","0","1","0","0","0","2","4","2","0","0","0","0","0","0","0","0","0","2","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"L3280","CompositeGroupsMapping","org.apache.hadoop.security.CompositeGroupsMapping","L428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\CompositeGroupsMapping.java","42","1","166","2","0","0","0","0","0","0","0","0","3","3","3","18","8","1","0","8","16","0.666667","0.279279","31","25","4","2","0.279279","31","1","2","0","0","2","80","125","8","2","7","2","8","3","5","1","8","37","4","5","1","80","125","8","2","7","2","8","3","5","1","8","37","4","5","1","0","1","16","1","6","0","1","1","0","0","0","1","0","0","0","0","0","4","9","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0"
"L3362","Credentials","org.apache.hadoop.security.Credentials","L428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\Credentials.java","53","1","304","2","0","0","0","0","0","0","0","0","1","2","2","34","15","11","34","13","32","0.894737","0.344828","80","78","17","2","0.344828","80","1","1","0","0","1","152","252","5","3","5","3","19","0","18","0","19","81","0","18","0","152","252","5","3","5","3","19","0","18","0","19","81","0","18","0","0","0","13","0","9","0","0","0","0","0","0","0","0","0","3","1","0","5","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L2673","Groups","org.apache.hadoop.security.Groups","L428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\Groups.java","49","1","258","2","0","0","0","0","0","0","0","0","1","2","2","24","17","9","21","16","24","0.875","0.261905","44","40","7","1","0.30303","60","0","0","1","1","0","124","180","7","4","7","4","8","0","7","0","8","56","0","7","0","138","210","9","6","9","6","11","0","9","0","11","60","0","9","0","0","0","10","1","11","0","0","1","0","0","0","0","0","0","2","1","0","4","7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","1","0","0","2","0","0","0","0","0"
"L3664","HadoopKerberosName","org.apache.hadoop.security.HadoopKerberosName","L428","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\HadoopKerberosName.java","35","1","85","2","0","0","0","0","0","0","0","0","1","2","2","7","10","5","5","7","10","0.75","0.37037","20","19","3","1","0.37037","20","1","1","0","0","1","34","51","10","6","0","0","3","0","3","1","15","16","0","13","2","34","51","10","6","0","0","3","0","3","1","15","16","0","13","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
